dataset,model_a,model_b,dim_a,dim_b,cka_score,mean_cosine_sim,procrustes_distance
tabarena_concrete_compressive_strength,carte,tabicl,300,512,0.1831615453212727,0.1792731136083603,1.1435608863830566
tabarena_credit-g,carte,tabicl,300,512,0.6328841787685906,0.5248377919197083,0.9395987391471863
tabarena_credit_card_clients_default,carte,tabicl,300,512,0.41337673979074196,-0.13501475751399994,0.9127883315086365
tabarena_customer_satisfaction_in_airline,carte,tabicl,300,512,0.14167755580352917,-0.07253255695104599,1.1208900213241577
tabarena_diabetes,carte,tabicl,300,512,0.2543080327454198,-0.10935329645872116,1.031987190246582
tabarena_diamonds,carte,tabicl,300,512,0.68208086510739,0.3491545617580414,0.9510301351547241
tabarena_hazelnut-spread-contaminant-detection,carte,tabicl,300,512,0.5623084616343862,0.4971911311149597,0.883923351764679
tabarena_healthcare_insurance_expenses,carte,tabicl,300,512,0.287505859459776,-0.11244941502809525,1.0864336490631104
tabarena_heloc,carte,tabicl,300,512,0.24810721916743247,-0.005220528692007065,1.0563335418701172
tabarena_hiva_agnostic,carte,tabicl,300,512,0.21633760328361448,0.13461565971374512,1.163173794746399
tabarena_houses,carte,tabicl,300,512,0.35622903887181073,-0.2733636200428009,0.964805006980896
tabarena_in_vehicle_coupon_recommendation,carte,tabicl,300,512,0.20766486696759442,-0.0153881274163723,1.1580429077148438
tabarena_jm1,carte,tabicl,300,512,0.7480964398381232,0.6039860248565674,0.7535577416419983
tabarena_kddcup09_appetency,carte,tabicl,300,512,0.06455432522175641,0.05031169578433037,1.2157204151153564
tabarena_maternal_health_risk,carte,tabicl,300,512,0.1061519482998566,-0.06593938171863556,1.1709989309310913
tabarena_miami_housing,carte,tabicl,300,512,0.3596922590842935,0.026971595361828804,0.9398388862609863
tabarena_online_shoppers_intention,carte,tabicl,300,512,0.8262017043324985,0.4610767364501953,0.6880301237106323
tabarena_physiochemical_protein,carte,tabicl,300,512,0.4006942662368933,-0.1536918580532074,0.974600076675415
tabarena_polish_companies_bankruptcy,carte,tabicl,300,512,0.4794765157698962,0.3042158782482147,0.9521145224571228
tabarena_qsar-biodeg,carte,tabicl,300,512,0.32860849727762753,-0.362977534532547,1.0098193883895874
tabarena_seismic-bumps,carte,tabicl,300,512,0.7461043295217322,0.5750324130058289,0.7581259608268738
tabarena_splice,carte,tabicl,300,512,0.22877526331599082,0.10594885796308517,1.090269684791565
tabarena_students_dropout_and_academic_success,carte,tabicl,300,512,0.16935897311940976,0.006090086884796619,1.153528094291687
tabarena_superconductivity,carte,tabicl,300,512,0.4124312897682493,-0.32971060276031494,1.063173770904541
tabarena_taiwanese_bankruptcy_prediction,carte,tabicl,300,512,0.6264304611295871,0.4725649356842041,0.7990020513534546
tabarena_website_phishing,carte,tabicl,300,512,0.3783071423096312,0.3273087739944458,0.9964368939399719
tabarena_wine_quality,carte,tabicl,300,512,0.13439235879147232,0.06270768493413925,1.1634775400161743
tabarena_APSFailure,carte,tabpfn,300,192,0.26712654970127636,-0.18237179517745972,0.9422829151153564
tabarena_Amazon_employee_access,carte,tabpfn,300,192,0.17395298958095357,0.22060292959213257,1.1422972679138184
tabarena_Another-Dataset-on-used-Fiat-500,carte,tabpfn,300,192,0.502408528130799,0.4094945788383484,1.0028209686279297
tabarena_Bank_Customer_Churn,carte,tabpfn,300,192,0.38896962384243566,-0.2021598070859909,0.9564784169197083
tabarena_Bioresponse,carte,tabpfn,300,192,0.36006644112660635,0.2047019600868225,1.0010390281677246
tabarena_Diabetes130US,carte,tabpfn,300,192,0.18168453093656575,0.15159857273101807,1.110079050064087
tabarena_E-CommereShippingData,carte,tabpfn,300,192,0.836558972880974,0.7078374624252319,0.5493223667144775
tabarena_Fitness_Club,carte,tabpfn,300,192,0.6281413690757707,0.39132338762283325,0.7412723898887634
tabarena_Food_Delivery_Time,carte,tabpfn,300,192,0.12170111458087585,0.05950396880507469,1.1562368869781494
tabarena_GiveMeSomeCredit,carte,tabpfn,300,192,0.6463319245120447,0.5581322312355042,0.753323495388031
tabarena_HR_Analytics_Job_Change_of_Data_Scientists,carte,tabpfn,300,192,0.6271820114807211,0.45836353302001953,0.8414196372032166
tabarena_Is-this-a-good-customer,carte,tabpfn,300,192,0.46319632305472325,0.3723859488964081,0.9546270370483398
tabarena_MIC,carte,tabpfn,300,192,0.3762652176904499,0.3069802224636078,0.9629513025283813
tabarena_Marketing_Campaign,carte,tabpfn,300,192,0.4029594754276995,0.36636245250701904,0.951246976852417
tabarena_NATICUSdroid,carte,tabpfn,300,192,0.5843685273635436,-0.4140225648880005,0.7928563952445984
tabarena_QSAR-TID-11,carte,tabpfn,300,192,0.16280805164259182,0.12599097192287445,1.1894724369049072
tabarena_QSAR_fish_toxicity,carte,tabpfn,300,192,0.3390131017345216,0.14346082508563995,0.9913871884346008
tabarena_SDSS17,carte,tabpfn,300,192,0.5682854459157646,-0.029221558943390846,0.7687745094299316
tabarena_airfoil_self_noise,carte,tabpfn,300,192,0.14645513650227063,0.02641853131353855,1.1473497152328491
tabarena_anneal,carte,tabpfn,300,192,0.21003002947625307,0.04833129048347473,1.0547840595245361
tabarena_bank-marketing,carte,tabpfn,300,192,0.4933800318547789,0.23287588357925415,0.9192935824394226
tabarena_blood-transfusion-service-center,carte,tabpfn,300,192,0.3222656397218706,-0.1620170772075653,0.8689789772033691
tabarena_churn,carte,tabpfn,300,192,0.5230941790310762,0.22704719007015228,0.9087074398994446
tabarena_coil2000_insurance_policies,carte,tabpfn,300,192,0.3604180346837163,0.25394701957702637,1.011418104171753
tabarena_concrete_compressive_strength,carte,tabpfn,300,192,0.24991597134376545,0.16542497277259827,1.0796715021133423
tabarena_credit-g,carte,tabpfn,300,192,0.516841801371418,0.4045657813549042,0.9245690107345581
tabarena_credit_card_clients_default,carte,tabpfn,300,192,0.5542074504125982,-0.14761316776275635,0.8183691501617432
tabarena_customer_satisfaction_in_airline,carte,tabpfn,300,192,0.5928089675327258,0.33105894923210144,0.8625804781913757
tabarena_diabetes,carte,tabpfn,300,192,0.5766263254734669,-0.4303043782711029,0.8537266850471497
tabarena_diamonds,carte,tabpfn,300,192,0.5583732272597237,0.40527865290641785,0.9278494715690613
tabarena_hazelnut-spread-contaminant-detection,carte,tabpfn,300,192,0.5819323891414874,0.4812086224555969,0.8420801162719727
tabarena_healthcare_insurance_expenses,carte,tabpfn,300,192,0.2430401893727144,0.2585737705230713,1.0827428102493286
tabarena_heloc,carte,tabpfn,300,192,0.7776145958395855,0.5182481408119202,0.7084404826164246
tabarena_hiva_agnostic,carte,tabpfn,300,192,0.03543604315412508,-0.09860945492982864,1.2794106006622314
tabarena_houses,carte,tabpfn,300,192,0.3271717573732596,-0.12722940742969513,1.0033690929412842
tabarena_in_vehicle_coupon_recommendation,carte,tabpfn,300,192,0.41323998646203336,0.36671146750450134,0.9931566715240479
tabarena_jm1,carte,tabpfn,300,192,0.739166420203002,0.610018253326416,0.7328367829322815
tabarena_kddcup09_appetency,carte,tabpfn,300,192,0.035870442450125176,-0.030599016696214676,1.2479827404022217
tabarena_maternal_health_risk,carte,tabpfn,300,192,0.10869002290504078,0.02168860286474228,1.1753863096237183
tabarena_miami_housing,carte,tabpfn,300,192,0.21139967846046992,-0.11503247171640396,1.033346176147461
tabarena_online_shoppers_intention,carte,tabpfn,300,192,0.6378167884915079,0.4315365254878998,0.7848182320594788
tabarena_physiochemical_protein,carte,tabpfn,300,192,0.2625997516968598,0.18978512287139893,1.0606430768966675
tabarena_polish_companies_bankruptcy,carte,tabpfn,300,192,0.39122404638334984,-0.2900141775608063,0.9989720582962036
tabarena_qsar-biodeg,carte,tabpfn,300,192,0.6128840074549914,0.4676762819290161,0.8482511043548584
tabarena_seismic-bumps,carte,tabpfn,300,192,0.8343845894054669,0.7138317823410034,0.6120136380195618
tabarena_splice,carte,tabpfn,300,192,0.24008946259425343,0.34232479333877563,1.0557682514190674
tabarena_students_dropout_and_academic_success,carte,tabpfn,300,192,0.13990154883953174,-0.11767711490392685,1.1640132665634155
tabarena_superconductivity,carte,tabpfn,300,192,0.39343293479403285,-0.3233197331428528,1.0652077198028564
tabarena_taiwanese_bankruptcy_prediction,carte,tabpfn,300,192,0.6099112684119014,0.5413019061088562,0.8290378451347351
tabarena_website_phishing,carte,tabpfn,300,192,0.5295313304821233,0.4152452051639557,0.8920735120773315
tabarena_wine_quality,carte,tabpfn,300,192,0.775229984683811,0.586837112903595,0.7897788286209106
